PR;WKZ;UMC;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Vaartsche Rijn
0,00076091;0,011413636;0,02434909;0,547854546;0,219141818;0,0723168;0,40176;0,7271856
0,0006696;0,010044;0,0214272;0,562464;0;0,073047272;0,456545454;0,730472728
0,000664286;0,009964286;0,021257142;0,564377142;0;0,015942858;0,678026938;0,441936
0,002422894;0,036343422;0,077532632;0,718938948;0;0,211452632;3,455136;0,358714286
0,009608416;0,144126234;0,3074693;1,683771334;0,224502844;0,392879978;1,66900141;0,649876654
0,060413092;0,906196378;1,933218938;2,935162918;0,527502124;0,531304678;0,73497955;0,76170608
0,079627312;1,194409672;2,548073966;4,14994551;0,439874124;0,740954994;4,443285464;2,19046178
0,117670968;1,765064526;3,765470988;3,478903204;0,44098773;0,641436698;4,556873212;3,147526062
0,116928564;1,753928472;3,741714074;4,299953674;0,845266734;0,64589112;5,914358168;5,074699714
0,18611922;2,791788314;5,955815072;4,310386168;0,609562026;0,427871934;4,130416228;3,356981378
0,125419806;1,881297088;4,013433786;4,343060978;1,309599926;0,855248932;4,71146224;3,47705625
0,189067544;2,836013156;6,050161402;3,783808358;0,888657092;0,415746008;3,779116254;3,073550846
0,07952275;1,19284125;2,544728;2,206053;0,510012;0,354888;1,96416;0,885147702
0,05907767;0,886165042;1,890485422;2,272022068;0,44332138;0,318637242;2,465035932;1,753923254
0,07560046;1,134006888;2,419214694;2,612692654;0,626554286;0,346700204;1,38765469;1,08978634
0,080877932;1,213168966;2,588093794;4,66180138;1,443646154;0,288235862;1,798761104;1,153625142
0,035458364;0,531875454;1,134667636;3,910464;2,018539636;0,867738948;2,687518196;1,607431578
0,072082882;1,08124322;2,306652204;4,304355254;4,92969356;0,290551578;2,302864602;1,689015272
0,142973148;2,144597222;4,57514074;8,625192;8,56158;0,770877;3,301128;1,064664
0,107694;1,61541;3,446208;26,6848;7,86024;4,70448;2,976975738;2,362626886
0,07826431;1,173964656;2,504457932;14,49106759;7,280553104;5,406442758;2,90538305;1,969457468
0,049249234;0,738738506;1,575975482;9,434041968;6,279107796;2,315572528;3,383546986;2,093673734
0,0941625;1,4124375;3,0132;9,05256;7,391415904;1,281805714;4,029936112;4,491808524
0,134480952;2,017214286;4,303390476;18,58441143;8,519862858;1,16064;4,47804;5,0238
0,123357858;1,850367858;3,947451428;18,54154286;11,61596571;1,310502858;5,385497142;4,141954286
0,079614642;1,194219642;2,547668572;15,28601143;14,43466286;1,193322858;6,173074286;4,19616
0,151523572;2,272853572;4,848754286;25,74851142;18,82532571;1,849371428;5,586377142;5,286651428
0,175637142;2,634557142;5,620388572;57,5856;18,09833143;4,706331428;5,073017142;5,118454286
0,144282858;2,164242858;4,617051428;29,00962286;21,81620572;8,229702858;5,073814286;4,132388572
0,106352142;1,595282142;3,403268572;17,36496;16,30954286;1,836617142;5,58;5,114468572
0,105165;1,577475;3,36528;13,19328;14,24304;1,92456;6,152708572;5,564057142
0,09207;1,38105;2,94624;21,47184;13,59925714;1,157451428;4,9104;5,06736
0,136854604;2,052819054;4,379347318;24,37017366;19,31741115;1,286121952;5,973710164;8,207382858
0,183965626;2,759484376;5,8869;19,61091;22,39192;1,758523278;6,871164254;7,8883065
0,170791894;2,561878418;5,465340626;29,34351012;21,59464222;1,097876924;5,85844677;6,036279344
0,259528424;3,892926346;8,304909538;43,3344517;17,679672;2,859192;6,450940766;8,368545776
0,382099574;5,731493598;12,22718634;58,23036;23,2933907;4,443424616;8,61677561;5,950993684
0,35238375;5,28575625;11,27628;31,63492536;29,39004;7,348043414;8,038493114;3,217935354
0,27172074;4,075811112;8,695063704;28,04508;26,8167825;2,966730492;10,14294516;7,208106118
0,28450377;4,267556558;9,104120656;36,34063464;22,23950164;2,5758675;10,91705644;6,101226886
0,557819478;8,367292184;17,85022333;43,93377894;32,67530248;5,362358316;14,36127741;5,465791232
0,620148788;9,302231808;19,84476119;37,87833186;31,67470758;4,165718188;13,27993551;8,39011632
0,765165686;11,47748528;24,48530192;47,91687314;35,32836972;4,376517582;16,37130774;8,474497804
0,879493626;13,19240438;28,143796;72,54399626;33,41596668;3,328454922;13,26174323;6,120919604
0,896030074;13,4404511;28,67296236;86,17926424;40,19013054;6,26728036;10,9978775;6,094737094
0,706136354;10,59204532;22,59636334;42,85548954;37,73640384;6,529297106;13,07326645;4,120790772
0,317535692;4,763035384;10,16114215;32,5426242;27,13811728;2,706055518;13,83140104;2,857475504
0,348601846;5,229027676;11,15525904;27,52655258;17,89619965;1,46533147;8,256463152;2,24456364
0,172897246;2,593458686;5,532711864;19,31342034;11,49101695;1,34767595;7,332637626;1,449407532
0,086296826;1,294452392;2,761498436;14,09458224;8,6547351;0,919443568;6,423558394;1,546253562
0,0564975;0,8474625;1,80792;11,189016;7,613841952;0,685931708;4,57427791;1,109622858
0,053607858;0,804117858;1,715451428;11,56016571;6,753394286;0,851348572;3,777290592;0,744725854
0,040654286;0,609814286;1,300937142;20,83412572;7,155154286;1,061794286;2,94624;0,516548572
0,025907142;0,388607142;0,829028572;10,35010286;5,682034286;1,281805714;3,108857142;0,564377142
0,024552;0,36828;0,785664;4,606848;5,062176;0,348192;1,687392;0,308016
0,021921428;0,328821428;0,701485714;4,342834286;3,367131428;0,280594286;3,373508572;0,459154286
0,023117142;0,346757142;0,739748572;3,685988572;5,012434286;0,433645714;1,466742858;0,35712
0,025242858;0,378642858;0,807771428;3,354377142;3,430902858;0,382628572;2,844205714;0,293348572
0,01488;0,2232;0,47616;2,525348572;2,895222858;0,216822858;1,058605714;0,242331428
0,019131428;0,286971428;0,612205714;2,525348572;1,224411428;0,216822858;2,168228572;0,573942858
0,016208572;0,243128572;0,518674286;2,550857142;2,85696;0,114788572;1,351954286;0,140297142
0,01116;0,1674;0,35712;1,568777142;2,32128;0,331611428;2,283017142;0,510171428
0,002657142;0,039857142;0,085028572;1,084114286;1,390217142;0,051017142;0,522925714;0,280594286
0,002657142;0,039857142;0,085028572;1,084114286;1,390217142;0,051017142;0,522925714;0,280594286
0,002657142;0,039857142;0,085028572;1,084114286;1,390217142;0,051017142;0,522925714;0,280594286
0,002657142;0,039857142;0,085028572;1,084114286;1,390217142;0,051017142;0,522925714;0,280594286
