Tramnummer;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R
1;06:00:00;06:22:00;06:44:00;07:06:00;07:28:00;07:50:00;08:12:00;08:34:00;08:56:00;09:18:00;09:40:00;10:02:00;10:24:00;10:46:00;11:08:00;11:30:00;11:52:00;12:14:00;12:36:00;12:58:00;13:20:00;13:42:00;14:04:00;14:26:00;14:48:00;15:10:00;15:32:00;15:54:00;16:16:00;16:38:00;17:00:00;17:22:00;17:44:00;18:06:00;18:28:00;18:50:00;19:12:00;19:34:00;19:56:00;20:18:00;20:40:00;21:02:00;21:24:00;
2;;;;;;07:53:00;08:15:00;08:37:00;08:59:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;07:12:00;07:34:00;07:56:00;08:18:00;08:40:00;09:02:00;09:24:00;09:46:00;10:08:00;10:30:00;10:52:00;11:14:00;11:36:00;11:58:00;12:20:00;12:42:00;13:04:00;13:26:00;13:48:00;14:10:00;14:32:00;14:54:00;15:16:00;15:38:00;16:00:00;16:22:00;16:44:00;17:06:00;17:28:00;17:50:00;;;;;;;;;;;
4;;;;;;07:59:00;08:21:00;08:43:00;09:05:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;07:18:00;07:40:00;08:02:00;08:24:00;08:46:00;09:08:00;09:30:00;09:52:00;10:14:00;10:36:00;10:58:00;11:20:00;11:42:00;12:04:00;12:26:00;12:48:00;13:10:00;13:32:00;13:54:00;14:16:00;14:38:00;15:00:00;15:22:00;15:44:00;16:06:00;16:28:00;16:50:00;17:12:00;17:34:00;17:56:00;18:18:00;18:40:00;19:02:00;19:24:00;19:46:00;20:08:00;20:30:00;20:52:00;21:14:00;21:36:00;
6;;;;;;08:05:00;08:27:00;08:49:00;09:11:00;;;;;;;;;;;;;;;;;;;16:09:00;16:31:00;16:53:00;17:15:00;17:37:00;17:59:00;;;;;;;;;;;
7;;06:40:00;07:02:00;07:24:00;07:46:00;08:08:00;08:30:00;08:52:00;09:14:00;09:36:00;09:58:00;10:20:00;10:42:00;11:04:00;11:26:00;11:48:00;12:10:00;12:32:00;12:54:00;13:16:00;13:38:00;14:00:00;14:22:00;14:44:00;15:06:00;15:28:00;15:50:00;16:12:00;16:34:00;16:56:00;17:18:00;17:40:00;18:02:00;;;;;;;;;;;
8;;;;;;08:11:00;08:33:00;08:55:00;09:17:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;06:24:00;06:46:00;07:08:00;07:30:00;07:52:00;08:14:00;08:36:00;08:58:00;09:20:00;09:42:00;10:04:00;10:26:00;10:48:00;11:10:00;11:32:00;11:54:00;12:16:00;12:38:00;13:00:00;13:22:00;13:44:00;14:06:00;14:28:00;14:50:00;15:12:00;15:34:00;15:56:00;16:18:00;16:40:00;17:02:00;17:24:00;17:46:00;18:08:00;18:30:00;18:52:00;19:14:00;19:36:00;19:58:00;20:20:00;20:42:00;21:04:00;21:26:00;21:48:00;
10;;;;;;08:17:00;08:39:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;06:52:00;07:14:00;07:36:00;07:58:00;08:20:00;08:42:00;09:04:00;09:26:00;09:48:00;10:10:00;10:32:00;10:54:00;11:16:00;11:38:00;12:00:00;12:22:00;12:44:00;13:06:00;13:28:00;13:50:00;14:12:00;14:34:00;14:56:00;15:18:00;15:40:00;16:02:00;16:24:00;16:46:00;17:08:00;17:30:00;17:52:00;18:14:00;;;;;;;;;;;
12;;;;07:39:00;08:01:00;08:23:00;08:45:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;06:58:00;07:20:00;07:42:00;08:04:00;08:26:00;08:48:00;09:10:00;09:32:00;09:54:00;10:16:00;10:38:00;11:00:00;11:22:00;11:44:00;12:06:00;12:28:00;12:50:00;13:12:00;13:34:00;13:56:00;14:18:00;14:40:00;15:02:00;15:24:00;15:46:00;16:08:00;16:30:00;16:52:00;17:14:00;17:36:00;17:58:00;18:20:00;18:42:00;19:04:00;19:26:00;19:48:00;20:10:00;20:32:00;20:54:00;21:16:00;;;
14;;;;07:45:00;08:07:00;08:29:00;08:51:00;;;;;;;;;;;;;;;;;;;;;16:33:00;16:55:00;17:17:00;17:39:00;18:01:00;18:23:00;;;;;;;;;;;
15;;07:04:00;07:26:00;07:48:00;08:10:00;08:32:00;08:54:00;09:16:00;09:38:00;10:00:00;10:22:00;10:44:00;11:06:00;11:28:00;11:50:00;12:12:00;12:34:00;12:56:00;13:18:00;13:40:00;14:02:00;14:24:00;14:46:00;15:08:00;15:30:00;15:52:00;16:14:00;16:36:00;16:58:00;17:20:00;17:42:00;18:04:00;18:26:00;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
